total_people    used_votes muharrem temel   meral   tayyip  doğu    selo
11967	10535	6229	34	401	2811	35	855
168986	148865	22296	1512	5909	96085	183	19497
306446	273413	123210	2285	12116	118799	555	12356
293300	255187	112325	1521	11420	107628	432	17702
505724	443259	93225	4836	17555	267062	519	52277
427357	372529	123804	3629	17915	190702	617	30275
168830	147742	97325	881	8281	35086	442	4159
253512	225562	63966	3552	10683	121427	318	22288
199348	175947	59635	1651	10357	96674	364	4729
140754	123510	90732	569	5236	22535	464	2857
184234	165063	55893	2044	9175	90529	351	4009
220711	195419	88382	1464	10881	82813	415	9418
170779	145639	46131	1611	5580	74662	300	14845
172351	151343	65365	807	8364	67879	263	6620
53501	48881	21138	245	4864	20502	86	990
170067	152826	52109	1334	7523	80901	214	8257
310787	273296	50634	2966	10875	179988	312	23886
549448	470945	144878	2649	16583	220363	588	78023
273863	242854	93809	2516	11125	121316	403	9587
283991	240296	77904	3317	11013	126819	552	16287
349260	304988	83104	3080	14023	177196	504	22060
211075	183714	54785	1909	8987	100600	284	14287
363413	323471	230909	1485	13901	65086	1142	7913
319199	278603	88454	3401	12961	153150	445	15745
344826	308290	133721	2865	15454	136923	620	14029
541033	474741	178113	3732	25735	215272	797	43504
367516	325205	162260	2264	14966	129341	738	11115
491711	435157	129582	5028	22367	249953	745	19925
272270	243914	76280	1894	7646	123321	268	29830
248940	219735	104843	1648	10109	93274	467	5993
120995	106248	46744	614	7086	44524	238	5101
213941	190650	21684	2374	5238	128103	183	28783
350388	311724	73723	3161	9076	188528	370	31625
26912	24572	8036	217	2129	12711	60	835
204319	174910	103316	881	6622	51726	450	9558
174845	155919	55364	1598	8615	79314	273	8237
491261	437344	137565	4549	23613	242216	706	21870
400677	355295	143129	4324	20395	170836	886	10423
191796	165162	47266	1469	8945	85626	241	18926
